Series_Title,Overview,concatenated_text
Wind River,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation,Wind River A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation
Get Out,A young AfricanAmerican visits his white girlfriends parents for the weekend where his simmering uneasiness about their reception of him eventually reaches a boiling point,Get Out A young AfricanAmerican visits his white girlfriends parents for the weekend where his simmering uneasiness about their reception of him eventually reaches a boiling point
Mission Impossible Fallout,Ethan Hunt and his IMF team along with some familiar allies race against time after a mission gone wrong,Mission Impossible Fallout Ethan Hunt and his IMF team along with some familiar allies race against time after a mission gone wrong
En man som heter Ove,Ove an illtempered isolated retiree who spends his days enforcing block association rules and visiting his wifes grave has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors,En man som heter Ove Ove an illtempered isolated retiree who spends his days enforcing block association rules and visiting his wifes grave has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors
What We Do in the Shadows,Viago Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane like paying rent keeping up with the chore wheel trying to get into nightclubs and overcoming flatmate conflicts,What We Do in the Shadows Viago Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane like paying rent keeping up with the chore wheel trying to get into nightclubs and overcoming flatmate conflicts
Omoide no Mn,Due to yo Annas asthma shes sent to stay with relatives of her guardian in the Japanese countryside She likes to be alone sketching She befriends Marnie Who is the mysterious blonde Marnie,Omoide no Mn Due to yo Annas asthma shes sent to stay with relatives of her guardian in the Japanese countryside She likes to be alone sketching She befriends Marnie Who is the mysterious blonde Marnie
The Theory of Everything,A look at the relationship between the famous physicist Stephen Hawking and his wife,The Theory of Everything A look at the relationship between the famous physicist Stephen Hawking and his wife
Kingsman The Secret Service,A spy organisation recruits a promising street kid into the agencys training program while a global threat emerges from a twisted tech genius,Kingsman The Secret Service A spy organisation recruits a promising street kid into the agencys training program while a global threat emerges from a twisted tech genius
The Fault in Our Stars,Two teenage cancer patients begin a lifeaffirming journey to visit a reclusive author in Amsterdam,The Fault in Our Stars Two teenage cancer patients begin a lifeaffirming journey to visit a reclusive author in Amsterdam
Me and Earl and the Dying Girl,High schooler Greg who spends most of his time making parodies of classic movies with his coworker Earl finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer,Me and Earl and the Dying Girl High schooler Greg who spends most of his time making parodies of classic movies with his coworker Earl finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer
Birdman or The Unexpected Virtue of Ignorance,A washedup superhero actor attempts to revive his fading career by writing directing and starring in a Broadway production,Birdman or The Unexpected Virtue of Ignorance A washedup superhero actor attempts to revive his fading career by writing directing and starring in a Broadway production
La vie dAdle,Adles life is changed when she meets Emma a young woman with blue hair who will allow her to discover desire and to assert herself as a woman and as an adult In front of others Adle grows seeks herself loses herself and ultimately finds herself through love and loss,La vie dAdle Adles life is changed when she meets Emma a young woman with blue hair who will allow her to discover desire and to assert herself as a woman and as an adult In front of others Adle grows seeks herself loses herself and ultimately finds herself through love and loss
Kai po che,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the countrys next cricket stars,Kai po che Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the countrys next cricket stars
The Broken Circle Breakdown,Elise and Didier fall in love at first sight in spite of their differences He talks she listens Hes a romantic atheist shes a religious realist When their daughter becomes seriously ill their love is put on trial,The Broken Circle Breakdown Elise and Didier fall in love at first sight in spite of their differences He talks she listens Hes a romantic atheist shes a religious realist When their daughter becomes seriously ill their love is put on trial
Captain America The Winter Soldier,As Steve Rogers struggles to embrace his role in the modern world he teams up with a fellow Avenger and SHIELD agent Black Widow to battle a new threat from history an assassin known as the Winter Soldier,Captain America The Winter Soldier As Steve Rogers struggles to embrace his role in the modern world he teams up with a fellow Avenger and SHIELD agent Black Widow to battle a new threat from history an assassin known as the Winter Soldier
Rockstar,Janardhan Jakhar chases his dreams of becoming a big Rock star during which he falls in love with Heer,Rockstar Janardhan Jakhar chases his dreams of becoming a big Rock star during which he falls in love with Heer
Nebraska,An aging boozeaddled father makes the trip from Montana to Nebraska with his estranged son in order to claim a milliondollar Mega Sweepstakes Marketing prize,Nebraska An aging boozeaddled father makes the trip from Montana to Nebraska with his estranged son in order to claim a milliondollar Mega Sweepstakes Marketing prize
WreckIt Ralph,A video game villain wants to be a hero and sets out to fulfill his dream but his quest brings havoc to the whole arcade where he lives,WreckIt Ralph A video game villain wants to be a hero and sets out to fulfill his dream but his quest brings havoc to the whole arcade where he lives
Le Petit Prince,A little girl lives in a very grownup world with her mother who tries to prepare her for it Her neighbor the Aviator introduces the girl to an extraordinary world where anything is possible the world of the Little Prince,Le Petit Prince A little girl lives in a very grownup world with her mother who tries to prepare her for it Her neighbor the Aviator introduces the girl to an extraordinary world where anything is possible the world of the Little Prince
Detachment,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment,Detachment A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment
Midnight in Paris,While on a trip to Paris with his fiances family a nostalgic screenwriter finds himself mysteriously going back to the s every day at midnight,Midnight in Paris While on a trip to Paris with his fiances family a nostalgic screenwriter finds himself mysteriously going back to the s every day at midnight
The Lego Movie,An ordinary LEGO construction worker thought to be the prophesied as special is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis,The Lego Movie An ordinary LEGO construction worker thought to be the prophesied as special is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis
Gravity,Two astronauts work together to survive after an accident leaves them stranded in space,Gravity Two astronauts work together to survive after an accident leaves them stranded in space
Star Trek Into Darkness,After the crew of the Enterprise find an unstoppable force of terror from within their own organization Captain Kirk leads a manhunt to a warzone world to capture a oneman weapon of mass destruction,Star Trek Into Darkness After the crew of the Enterprise find an unstoppable force of terror from within their own organization Captain Kirk leads a manhunt to a warzone world to capture a oneman weapon of mass destruction
Beasts of No Nation,A drama based on the experiences of Agu a child soldier fighting in the civil war of an unnamed African country,Beasts of No Nation A drama based on the experiences of Agu a child soldier fighting in the civil war of an unnamed African country
The Social Network,As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook he is sued by the twins who claimed he stole their idea and by the cofounder who was later squeezed out of the business,The Social Network As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook he is sued by the twins who claimed he stole their idea and by the cofounder who was later squeezed out of the business
X First Class,In the s superpowered humans Charles Xavier and Erik Lensherr work together to find others like them but Eriks vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them,X First Class In the s superpowered humans Charles Xavier and Erik Lensherr work together to find others like them but Eriks vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them
The Hangover,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing They make their way around the city in order to find their friend before his wedding,The Hangover Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing They make their way around the city in order to find their friend before his wedding
Skyfall,James Bonds loyalty to M is tested when her past comes back to haunt her When MI comes under attack must track down and destroy the threat no matter how personal the cost,Skyfall James Bonds loyalty to M is tested when her past comes back to haunt her When MI comes under attack must track down and destroy the threat no matter how personal the cost
Silver Linings Playbook,After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his exwife Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own,Silver Linings Playbook After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his exwife Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own
Argo,Acting under the cover of a Hollywood producer scouting a location for a science fiction film a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the US hostage crisis in Iran in,Argo Acting under the cover of a Hollywood producer scouting a location for a science fiction film a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the US hostage crisis in Iran in
Days of Summer,An offbeat romantic comedy about a woman who doesnt believe true love exists and the young man who falls for her,Days of Summer An offbeat romantic comedy about a woman who doesnt believe true love exists and the young man who falls for her
Harry Potter and the Deathly Hallows Part,As Harry Ron and Hermione race against time and evil to destroy the Horcruxes they uncover the existence of the three most powerful objects in the wizarding world the Deathly Hallows,Harry Potter and the Deathly Hallows Part As Harry Ron and Hermione race against time and evil to destroy the Horcruxes they uncover the existence of the three most powerful objects in the wizarding world the Deathly Hallows
Gake no ue no Ponyo,A fiveyearold boy develops a relationship with Ponyo a young goldfish princess who longs to become a human after falling in love with him,Gake no ue no Ponyo A fiveyearold boy develops a relationship with Ponyo a young goldfish princess who longs to become a human after falling in love with him
FrostNixon,A dramatic retelling of the postWatergate television interviews between British talkshow host David Frost and former president Richard Nixon,FrostNixon A dramatic retelling of the postWatergate television interviews between British talkshow host David Frost and former president Richard Nixon
Papurika,When a machine that allows therapists to enter their patients dreams is stolen all Hell breaks loose Only a young female therapist Paprika can stop it,Papurika When a machine that allows therapists to enter their patients dreams is stolen all Hell breaks loose Only a young female therapist Paprika can stop it
Changeling,Griefstricken mother Christine Collins Angelina Jolie takes on the LAPD to her own detriment when it tries to pass off an obvious impostor as her missing child,Changeling Griefstricken mother Christine Collins Angelina Jolie takes on the LAPD to her own detriment when it tries to pass off an obvious impostor as her missing child
Flipped,Two eighthgraders start to have feelings for each other despite being total opposites,Flipped Two eighthgraders start to have feelings for each other despite being total opposites
Toki o kakeru shjo,A highschool girl named Makoto acquires the power to travel back in time and decides to use it for her own personal benefits Little does she know that she is affecting the lives of others just as much as she is her own,Toki o kakeru shjo A highschool girl named Makoto acquires the power to travel back in time and decides to use it for her own personal benefits Little does she know that she is affecting the lives of others just as much as she is her own
Death Note Desu nto,A battle between the worlds two greatest minds begins when Light Yagami finds the Death Note a notebook with the power to kill and decides to rid the world of criminals,Death Note Desu nto A battle between the worlds two greatest minds begins when Light Yagami finds the Death Note a notebook with the power to kill and decides to rid the world of criminals
This Is England,A young boy becomes friends with a gang of skinheads Friends soon become like family and relationships will be pushed to the very limit,This Is England A young boy becomes friends with a gang of skinheads Friends soon become like family and relationships will be pushed to the very limit
Ex Machina,A young programmer is selected to participate in a groundbreaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid AI,Ex Machina A young programmer is selected to participate in a groundbreaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid AI
Efter brylluppet,A manager of an orphanage in India is sent to Copenhagen Denmark where he discovers a lifealtering family secret,Efter brylluppet A manager of an orphanage in India is sent to Copenhagen Denmark where he discovers a lifealtering family secret
The Last King of Scotland,Based on the events of the brutal Ugandan dictator Idi Amins regime as seen by his personal physician during the s,The Last King of Scotland Based on the events of the brutal Ugandan dictator Idi Amins regime as seen by his personal physician during the s
Zodiac,In the late searly s a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer an unidentified individual who terrorizes Northern California with a killing spree,Zodiac In the late searly s a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer an unidentified individual who terrorizes Northern California with a killing spree
Lucky Number Slevin,A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the citys most rival crime bosses Under constant surveillance by Detective Brikowski and assassin Goodkat he must get them before they get him,Lucky Number Slevin A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the citys most rival crime bosses Under constant surveillance by Detective Brikowski and assassin Goodkat he must get them before they get him
Joyeux Nol,In December an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each others way of life,Joyeux Nol In December an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each others way of life
Control,A profile of Ian Curtis the enigmatic singer of Joy Division whose personal professional and romantic troubles led him to commit suicide at the age of,Control A profile of Ian Curtis the enigmatic singer of Joy Division whose personal professional and romantic troubles led him to commit suicide at the age of
Tangled,The magically longhaired Rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is,Tangled The magically longhaired Rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is
Zwartboek,In the Nazioccupied Netherlands during World War II a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance,Zwartboek In the Nazioccupied Netherlands during World War II a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance
Brokeback Mountain,The story of a forbidden and secretive relationship between two cowboys and their lives over the years,Brokeback Mountain The story of a forbidden and secretive relationship between two cowboys and their lives over the years
to Yuma,A smalltime rancher agrees to hold a captured outlaw whos awaiting a train to go to court in Yuma A battle of wills ensues as the outlaw tries to psych out the rancher,to Yuma A smalltime rancher agrees to hold a captured outlaw whos awaiting a train to go to court in Yuma A battle of wills ensues as the outlaw tries to psych out the rancher
Crash,Los Angeles citizens with vastly separate lives collide in interweaving stories of race loss and redemption,Crash Los Angeles citizens with vastly separate lives collide in interweaving stories of race loss and redemption
Kung fu,In Shanghai China in the s a wannabe gangster aspires to join the notorious Axe Gang while residents of a housing complex exhibit extraordinary powers in defending their turf,Kung fu In Shanghai China in the s a wannabe gangster aspires to join the notorious Axe Gang while residents of a housing complex exhibit extraordinary powers in defending their turf
The Bourne Supremacy,When Jason Bourne is framed for a CIA operation gone awry he is forced to resume his former life as a trained assassin to survive,The Bourne Supremacy When Jason Bourne is framed for a CIA operation gone awry he is forced to resume his former life as a trained assassin to survive
The Machinist,An industrial worker who hasnt slept in a year begins to doubt his own sanity,The Machinist An industrial worker who hasnt slept in a year begins to doubt his own sanity
Ray,The story of the life and career of the legendary rhythm and blues musician Ray Charles from his humble beginnings in the South where he went blind at age seven to his meteoric rise to stardom during the s and s,Ray The story of the life and career of the legendary rhythm and blues musician Ray Charles from his humble beginnings in the South where he went blind at age seven to his meteoric rise to stardom during the s and s
Lost in Translation,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo,Lost in Translation A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo
Harry Potter and the Goblet of Fire,Harry Potter finds himself competing in a hazardous tournament between rival schools of magic but he is distracted by recurring nightmares,Harry Potter and the Goblet of Fire Harry Potter finds himself competing in a hazardous tournament between rival schools of magic but he is distracted by recurring nightmares
Man on Fire,In Mexico City a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect,Man on Fire In Mexico City a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect
Coraline,An adventurous yearold girl finds another world that is a strangely idealized version of her frustrating home but it has sinister secrets,Coraline An adventurous yearold girl finds another world that is a strangely idealized version of her frustrating home but it has sinister secrets
The Last Samurai,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle,The Last Samurai An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle
The Magdalene Sisters,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum,The Magdalene Sisters Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum
Good Bye Lenin,In to protect his fragile mother from a fatal shock after a long coma a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared,Good Bye Lenin In to protect his fragile mother from a fatal shock after a long coma a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared
In America,A family of Irish immigrants adjust to life on the mean streets of Hells Kitchen while also grieving the death of a child,In America A family of Irish immigrants adjust to life on the mean streets of Hells Kitchen while also grieving the death of a child
I Am Sam,A mentally handicapped man fights for custody of his yearold daughter and in the process teaches his coldhearted lawyer the value of love and family,I Am Sam A mentally handicapped man fights for custody of his yearold daughter and in the process teaches his coldhearted lawyer the value of love and family
Adaptation,A lovelorn screenwriter becomes desperate as he tries and fails to adapt The Orchid Thief by Susan Orlean for the screen,Adaptation A lovelorn screenwriter becomes desperate as he tries and fails to adapt The Orchid Thief by Susan Orlean for the screen
Black Hawk Down,elite US soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavilyarmed Somalis,Black Hawk Down elite US soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavilyarmed Somalis
Road to Perdition,A mob enforcers son witnesses a murder forcing him and his father to take to the road and his father down a path of redemption and revenge,Road to Perdition A mob enforcers son witnesses a murder forcing him and his father to take to the road and his father down a path of redemption and revenge
Das Experiment,For two weeks male participants are hired to play prisoners and guards in a prison The prisoners have to follow seemingly mild rules and the guards are told to retain order without using physical violence,Das Experiment For two weeks male participants are hired to play prisoners and guards in a prison The prisoners have to follow seemingly mild rules and the guards are told to retain order without using physical violence
Billy Elliot,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family,Billy Elliot A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family
Hedwig and the Angry Inch,A genderqueer punkrock singer from East Berlin tours the US with her band as she tells her life story and follows the former loverbandmate who stole her songs,Hedwig and the Angry Inch A genderqueer punkrock singer from East Berlin tours the US with her band as she tells her life story and follows the former loverbandmate who stole her songs
Oceans Eleven,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously,Oceans Eleven Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously
Vampire Hunter D Bloodlust,When a girl is abducted by a vampire a legendary bounty hunter is hired to bring her back,Vampire Hunter D Bloodlust When a girl is abducted by a vampire a legendary bounty hunter is hired to bring her back
O Brother Where Art Thou,In the deep south during the s three escaped convicts search for hidden treasure while a relentless lawman pursues them,O Brother Where Art Thou In the deep south during the s three escaped convicts search for hidden treasure while a relentless lawman pursues them
Interstate Episodes of the Road,Neal Oliver a very confused young man and an artist takes a journey of a lifetime on a highway I that doesnt exist on any of the maps going to the places he never even heard of searching for an answer and his dreamgirl,Interstate Episodes of the Road Neal Oliver a very confused young man and an artist takes a journey of a lifetime on a highway I that doesnt exist on any of the maps going to the places he never even heard of searching for an answer and his dreamgirl
South Park Bigger Longer Uncut,When Stan Marsh and his friends go see an Rrated movie they start cursing and their parents think that Canada is to blame,South Park Bigger Longer Uncut When Stan Marsh and his friends go see an Rrated movie they start cursing and their parents think that Canada is to blame
Office Space,Three company workers who hate their jobs decide to rebel against their greedy boss,Office Space Three company workers who hate their jobs decide to rebel against their greedy boss
Happiness,The lives of several individuals intertwine as they go about their lives in their own unique ways engaging in acts society as a whole might find disturbing in a desperate search for human connection,Happiness The lives of several individuals intertwine as they go about their lives in their own unique ways engaging in acts society as a whole might find disturbing in a desperate search for human connection
Training Day,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isnt what he appears to be,Training Day A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isnt what he appears to be
Rushmore,The extracurricular king of Rushmore Preparatory School is put on academic probation,Rushmore The extracurricular king of Rushmore Preparatory School is put on academic probation
Abre los ojos,A very handsome man finds the love of his life but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured,Abre los ojos A very handsome man finds the love of his life but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured
Being John Malkovich,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich,Being John Malkovich A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich
As Good as It Gets,A single mother and waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is assaulted in a robbery,As Good as It Gets A single mother and waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is assaulted in a robbery
The Fifth Element,In the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr Zorg at bay,The Fifth Element In the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr Zorg at bay
Le dner de cons,A few friends have a weekly fools dinner where each brings a fool along Pierre finds a champion fool for next dinner Surprise,Le dner de cons A few friends have a weekly fools dinner where each brings a fool along Pierre finds a champion fool for next dinner Surprise
Donnie Brasco,An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life at the expense of his regular one,Donnie Brasco An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life at the expense of his regular one
Shine,Pianist David Helfgott driven by his father and teachers has a breakdown Years later he returns to the piano to popular if not critical acclaim,Shine Pianist David Helfgott driven by his father and teachers has a breakdown Years later he returns to the piano to popular if not critical acclaim
Primal Fear,An altar boy is accused of murdering a priest and the truth is buried several layers deep,Primal Fear An altar boy is accused of murdering a priest and the truth is buried several layers deep
Hamlet,Hamlet Prince of Denmark returns home to find his father murdered and his mother remarrying the murderer his uncle Meanwhile war is brewing,Hamlet Hamlet Prince of Denmark returns home to find his father murdered and his mother remarrying the murderer his uncle Meanwhile war is brewing
A Little Princess,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead,A Little Princess A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead
Do lok tin si,This Hong Kongset crime drama follows the lives of a hitman hoping to get out of the business and his elusive female partner,Do lok tin si This Hong Kongset crime drama follows the lives of a hitman hoping to get out of the business and his elusive female partner
Il postino,A simple Italian postman learns to love poetry while delivering mail to a famous poet and then uses this to woo local beauty Beatrice,Il postino A simple Italian postman learns to love poetry while delivering mail to a famous poet and then uses this to woo local beauty Beatrice
Clerks,A day in the lives of two convenience clerks named Dante and Randal as they annoy customers discuss movies and play hockey on the store roof,Clerks A day in the lives of two convenience clerks named Dante and Randal as they annoy customers discuss movies and play hockey on the store roof
Short Cuts,The daytoday lives of several suburban Los Angeles residents,Short Cuts The daytoday lives of several suburban Los Angeles residents
Philadelphia,When a man with HIV is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit,Philadelphia When a man with HIV is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit
The Muppet Christmas Carol,The Muppet characters tell their version of the classic tale of an old and bitter misers redemption on Christmas Eve,The Muppet Christmas Carol The Muppet characters tell their version of the classic tale of an old and bitter misers redemption on Christmas Eve
Malcolm X,Biographical epic of the controversial and influential Black Nationalist leader from his early life and career as a smalltime gangster to his ministry as a member of the Nation of Islam,Malcolm X Biographical epic of the controversial and influential Black Nationalist leader from his early life and career as a smalltime gangster to his ministry as a member of the Nation of Islam
The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War,The Last of the Mohicans Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War
Kurenai no buta,In s Italy a veteran World War I pilot is cursed to look like an anthropomorphic pig,Kurenai no buta In s Italy a veteran World War I pilot is cursed to look like an anthropomorphic pig
Glengarry Glen Ross,An examination of the machinations behind the scenes at a real estate office,Glengarry Glen Ross An examination of the machinations behind the scenes at a real estate office
A Few Good Men,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder They contend they were acting under orders,A Few Good Men Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder They contend they were acting under orders
Fried Green Tomatoes,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know,Fried Green Tomatoes A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know
Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood,Barton Fink A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood
Millers Crossing,Tom Reagan an advisor to a Prohibitionera crime boss tries to keep the peace between warring mobs but gets caught in divided loyalties,Millers Crossing Tom Reagan an advisor to a Prohibitionera crime boss tries to keep the peace between warring mobs but gets caught in divided loyalties
Who Framed Roger Rabbit,A toonhating detective is a cartoon rabbits only hope to prove his innocence when he is accused of murder,Who Framed Roger Rabbit A toonhating detective is a cartoon rabbits only hope to prove his innocence when he is accused of murder
Spoorloos,Rex and Saskia a young couple in love are on vacation They stop at a busy service station and Saskia is abducted After three years and no sign of Saskia Rex begins receiving letters from the abductor,Spoorloos Rex and Saskia a young couple in love are on vacation They stop at a busy service station and Saskia is abducted After three years and no sign of Saskia Rex begins receiving letters from the abductor
Withnail I,In two substanceabusing unemployed actors retreat to the countryside for a holiday that proves disastrous,Withnail I In two substanceabusing unemployed actors retreat to the countryside for a holiday that proves disastrous
The Last Emperor,The story of the final Emperor of China,The Last Emperor The story of the final Emperor of China
Empire of the Sun,A young English boy struggles to survive under Japanese occupation during World War II,Empire of the Sun A young English boy struggles to survive under Japanese occupation during World War II
Der Name der Rose,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey,Der Name der Rose An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey
Blue Velvet,The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child,Blue Velvet The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child
The Purple Rose of Cairo,In New Jersey in a movie character walks off the screen and into the real world,The Purple Rose of Cairo In New Jersey in a movie character walks off the screen and into the real world
After Hours,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop,After Hours An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop
Zelig,Documentary about a man who can look and act like whoever hes around and meets various famous people,Zelig Documentary about a man who can look and act like whoever hes around and meets various famous people
The Verdict,A lawyer sees the chance to salvage his career and selfrespect by taking a medical malpractice case to trial rather than settling,The Verdict A lawyer sees the chance to salvage his career and selfrespect by taking a medical malpractice case to trial rather than settling
Star Trek II The Wrath of Khan,With the assistance of the Enterprise crew Admiral Kirk must stop an old nemesis Khan Noonien Singh from using the lifegenerating Genesis Device as the ultimate weapon,Star Trek II The Wrath of Khan With the assistance of the Enterprise crew Admiral Kirk must stop an old nemesis Khan Noonien Singh from using the lifegenerating Genesis Device as the ultimate weapon
First Blood,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating oneman war against his pursuers,First Blood A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating oneman war against his pursuers
Ordinary People,The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the goodnatured father and the guiltridden younger son,Ordinary People The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the goodnatured father and the guiltridden younger son
Airplane,A man afraid to fly must ensure that a plane lands safely after the pilots become sick,Airplane A man afraid to fly must ensure that a plane lands safely after the pilots become sick
Rupan sansei Kariosutoro no shiro,A dashing thief his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil counts clutches and learn the hidden secret to a fabulous treasure that she holds part of a key to,Rupan sansei Kariosutoro no shiro A dashing thief his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil counts clutches and learn the hidden secret to a fabulous treasure that she holds part of a key to
Halloween,Fifteen years after murdering his sister on Halloween night Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield Illinois to kill again,Halloween Fifteen years after murdering his sister on Halloween night Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield Illinois to kill again
Le locataire,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia,Le locataire A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia
Love and Death,In czarist Russia a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon,Love and Death In czarist Russia a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon
The Taking of Pelham One Two Three,In New York armed men hijack a subway car and demand a ransom for the passengers Even if its paid how could they get away,The Taking of Pelham One Two Three In New York armed men hijack a subway car and demand a ransom for the passengers Even if its paid how could they get away
Blazing Saddles,In order to ruin a western town a corrupt politician appoints a black Sheriff who promptly becomes his most formidable adversary,Blazing Saddles In order to ruin a western town a corrupt politician appoints a black Sheriff who promptly becomes his most formidable adversary
Serpico,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him,Serpico An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him
Enter the Dragon,A secret agent comes to an opium lords island fortress with other fighters for a martialarts tournament,Enter the Dragon A secret agent comes to an opium lords island fortress with other fighters for a martialarts tournament
